,Honest,Political.Figure,Position,Period.in.Power,Corruption.Score,Notable.Corruption.Details,city,latitude,longitude,arcgis_address,score,location.x,location.y,extent.xmin,extent.ymin,extent.xmax,extent.ymax
1,No,"Francois Duvalier (""Papa Doc"")",President,1957-1971,95,"Used Tonton Macoutes for personal gain, widespread kleptocracy, and embezzlement.",Port-au-Prince ,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
2,No,"Jean-Claude Duvalier (""Baby Doc"")",President,1971-1986,90,"Embezzled hundreds of millions of dollars, luxurious lifestyle amidst national poverty.",Port-au-Prince ,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
3,No,Michel Martelly,President,2011-2016,70,Accused of benefiting allies through public contracts and misuse of PetroCaribe funds.,cotes de fer,18.1888756,-73.0018772,"Côtes de Fer, Bainet, Sud-Est",100,-73.0018772,18.1888756,-73.0838772,18.1068756,-72.9198772,18.2708756
4,No,Jean-Bertrand Aristide,President,"1991, 1994-1996, 2001-2004",75,"Alleged embezzlement and misuse of state resources, patronage system.",Port-Salut ,18.09531905,-73.87936958,"Port-Salut, Sud",100,-73.87936958,18.09531905,-73.96336958,18.01131905,-73.79536958,18.17931905
5,No,Raoul Cedras,Military Leader,1991-1994,80,"Led a corrupt military junta, human rights abuses, embezzlement by military leaders.",Jeremie,18.6421583,-74.1123213,"Jérémie, Grand'Anse",100,-74.1123213,18.6421583,-74.2293213,18.5251583,-73.9953213,18.7591583
6,No,Jocelerme Privert,Interim President,2016-2017,60,Accusations of electoral fraud and mismanagement of state funds during transition.,Petit-Trou-de-Nippes ,18.5261614,-73.5085211,"Petit Trou de Nippes, L'Anse à Veau, Nippes",100,-73.5085211,18.5261614,-73.5875211,18.4471614,-73.4295211,18.6051614
7,No,Rene Preval,President,"1996-2001, 2006-2011",65,Alleged mismanagement of international aid and lack of transparency in government contracts.,Marmelade ,19.5174343,-72.3618854,"Marmelade, L'Artibonite",100,-72.3618854,19.5174343,-72.4268854,19.4524343,-72.2968854,19.5824343
8,No,Laurent Lamothe,Prime Minister,2012-2014,70,"Accused of corruption and mismanagement of PetroCaribe funds, cronyism.",Port-au-Prince ,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
9,No,Guy Philippe,Senator and Rebel Leader,N/A,85,"Involved in drug trafficking and money laundering, convicted in the U.S.",Pestel ,18.49298253,-73.82513942,"Pestel, Corail, Grand'Anse",100,-73.82513942,18.49298253,-73.95613942,18.36198253,-73.69413942,18.62398253
10,No,Leslie Francois Manigat,President,1988,50,Short tenure marked by political instability and allegations of electoral fraud.,Port-au-Prince ,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
11,No,Ertha Pascal-Trouillot,Provisional President,1990-1991,45,"Faced allegations of corruption, though mostly due to her brief tenure in a turbulent period.",Petion-Ville,18.5166745,-72.2831217,"Pétion-Ville, Port-au-Prince, L'Ouest",100,-72.2831217,18.5166745,-72.3701217,18.4296745,-72.1961217,18.6036745
12,No,Prosper Avril,President,1988-1990,70,His regime faced allegations of corruption and human rights abuses.,Thomazeau ,18.6502463,-72.0971751,"Thomazeau, Croix-des-Bouquets, L'Ouest",100,-72.0971751,18.6502463,-72.2131751,18.5342463,-71.9811751,18.7662463
13,No,Paul Magloire,President,1950-1956,65,"His administration was marked by graft and embezzlement, leading to public dissatisfaction.",Quartier-Morin ,19.697039,-72.1574248,"Quartier Morin, Cap-Haitien, Nord",100,-72.1574248,19.697039,-72.2164248,19.638039,-72.0984248,19.756039
14,No,Jean-Jacques Dessalines,Emperor (Founder of Haiti),1804-1806,40,"While not widely known for corruption, faced criticism for consolidating power and wealth.",Grande-RiviÃ¨re-du-Nord,19.51786619,-72.14708436,"Grande Riviere du Nord, Nord",96.67,-72.14708436,19.51786619,-72.24808436,19.41686619,-72.04608436,19.61886619
15,No,Henri Christophe,King of Haiti,1811-1820,50,His reign was marked by the establishment of a monarchy and accusations of autocratic rule.,Cap-haitien,19.75938,-72.19815,"Cap-Haïtien, Cap-Haitien, Département du Nord",100,-72.19815,19.75938,-72.24815,19.70938,-72.14815,19.80938
16,No,Philippe Sudre Dartiguenave,President,1915-1922,55,"His government, under U.S. occupation, faced allegations of corruption and lack of sovereignty.",Anse-a-Veau,18.5011,-73.3449,"Anse-�-Veau,�Depatman�Grandans",100,-73.3449,18.5011,-73.3509,18.4951,-73.3389,18.5071
17,No,Louis Gerald Gilles,Senator ,,70,Alledged bribery undermining the CPT,Port-au-Prince ,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
18,No,Smith Augustin,Diplomat,,70,Alledged bribery undermining the CPT,Port-au-Prince ,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
19,No,Emmanuel Vertilaire,Lawyer,,70,Alledged bribery undermining the CPT,Cap-haitien,19.75938,-72.19815,"Cap-Haïtien, Cap-Haitien, Département du Nord",100,-72.19815,19.75938,-72.24815,19.70938,-72.14815,19.80938
20,Yes,Antoine Simon,President,1908-1911,20,"Minimal corruption, focused on reforms",Les Cayes,18.1948878,-73.7501803,"Les Cayes, Sud",100,-73.7501803,18.1948878,-73.8441803,18.1008878,-73.6561803,18.2888878
21,Yes,Sténio Vincent,President,1930-1941,25,Efforts to reduce foreign influence,Port-au-Prince,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
22,Yes,Élie Lescot,President,1941-1946,30,"Modernization efforts, overthrown in 1946",Saint-Louis-du-Nord,19.9324181,-72.7187524,"Saint Louis du Nord, Nord-Ouest",100,-72.7187524,19.9324181,-72.7837524,19.8674181,-72.6537524,19.9974181
23,Yes,Dumarsais Estimé,President,1946-1950,25,Implemented progressive reforms,Verrettes,19.050994,-72.4643293,"Verrettes, Saint Marc, L'Artibonite",100,-72.4643293,19.050994,-72.5893293,18.925994,-72.3393293,19.175994
24,Yes,Nissage Saget,President,1870-1874,15,Voluntarily stepped down from power,Saint-Marc,19.1069873,-72.7014396,"Saint Marc, L'Artibonite",100,-72.7014396,19.1069873,-72.8504396,18.9579873,-72.5524396,19.2559873
26,Yes,Pierre Théoma Boisrond-Canal,President,"1876-1879, 1888",25,"Diplomatic leader, aimed for peaceful governance",Les Cayes,18.1948878,-73.7501803,"Les Cayes, Sud",100,-73.7501803,18.1948878,-73.8441803,18.1008878,-73.6561803,18.2888878
27,Yes,Alexandre Pétion,President,1807-1818,10,"Died poor, worked towards unity and stability",Port-au-Prince,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
28,Yes,Jean-Pierre Boyer,President,1818-1843,20,"Died poor, extended Haitian influence",Port-au-Prince,18.54349,-72.33881,"Port-au-Prince, Departement de l'Ouest",100,-72.33881,18.54349,-72.48781,18.39449,-72.18981,18.69249
,,,,,,,,,,,,,,,,,
,,,,,,,"Showing 1 to 1 of 1 entries, 11 total columns",,,,,,,,,,
